 Popolazione residente al 1° gennaio 2020 per sesso, età e stato civile
ItaliaEtà	Celibi	Coniugati	Divorziati	Vedovi	Uniti civilmente	Maschi già in unione civile (per scioglimento unione)	Maschi già in unione civile (per decesso del partner)	Totale maschi	Nubili	Coniugate	Divorziate	Vedove	Unite civilmente	Femmine già in unione civile (per scioglimento unione)	Femmine già in unione civile (per decesso del partner)	Totale femmine	Totale
0	212.756	0	0	0	0	0	0	212.756	202.218	0	0	0	0	0	0	202.218	414.974
1	224.617	0	0	0	0	0	0	224.617	212.168	0	0	0	0	0	0	212.168	436.785
2	235.153	0	0	0	0	0	0	235.153	222.161	0	0	0	0	0	0	222.161	457.314
3	242.107	0	0	0	0	0	0	242.107	229.589	0	0	0	0	0	0	229.589	471.696
4	248.565	0	0	0	0	0	0	248.565	235.204	0	0	0	0	0	0	235.204	483.769
5	256.796	0	0	0	0	0	0	256.796	242.348	0	0	0	0	0	0	242.348	499.144
6	260.833	0	0	0	0	0	0	260.833	246.458	0	0	0	0	0	0	246.458	507.291
7	272.305	0	0	0	0	0	0	272.305	257.168	0	0	0	0	0	0	257.168	529.473
8	276.769	0	0	0	0	0	0	276.769	261.133	0	0	0	0	0	0	261.133	537.902
9	285.537	0	0	0	0	0	0	285.537	268.609	0	0	0	0	0	0	268.609	554.146
10	289.596	0	0	0	0	0	0	289.596	273.168	0	0	0	0	0	0	273.168	562.764
11	292.556	0	0	0	0	0	0	292.556	276.781	0	0	0	0	0	0	276.781	569.337
12	292.641	0	0	0	0	0	0	292.641	275.384	0	0	0	0	0	0	275.384	568.025
13	293.544	0	0	0	0	0	0	293.544	275.519	0	0	0	0	0	0	275.519	569.063
14	292.112	0	0	0	0	0	0	292.112	273.759	0	0	0	0	0	0	273.759	565.871
15	294.493	5	7	1	0	0	0	294.506	277.691	8	3	2	0	0	0	277.704	572.210
16	292.757	4	9	1	0	0	0	292.771	275.226	4	4	1	0	0	0	275.235	568.006
17	291.790	7	6	4	0	0	0	291.807	273.535	34	10	3	0	0	0	273.582	565.389
18	297.955	30	13	1	1	0	0	298.000	276.398	300	7	1	1	0	0	276.707	574.707
19	308.229	128	18	5	1	0	0	308.381	280.874	1.480	6	2	1	0	0	282.363	590.744
20	307.735	407	26	17	4	0	0	308.189	276.062	3.160	30	8	8	1	0	279.269	587.458
21	312.256	873	25	15	12	1	0	313.182	273.896	5.882	41	8	7	1	0	279.835	593.017
22	308.226	1.681	33	12	16	1	1	309.970	271.737	9.200	68	5	16	3	0	281.029	590.999
23	306.402	3.173	58	14	39	2	0	309.688	269.072	13.872	103	19	26	2	0	283.094	592.782
24	302.233	5.631	69	6	52	0	0	307.991	263.221	20.163	199	22	31	5	0	283.641	591.632
25	300.405	8.792	104	14	62	0	1	309.378	260.014	28.832	307	48	39	2	0	289.242	598.620
26	299.398	14.110	140	22	85	3	0	313.758	255.852	40.010	562	69	73	2	0	296.568	610.326
27	304.378	21.905	237	25	90	0	0	326.635	253.626	55.573	725	98	78	6	1	310.107	636.742
28	292.275	31.808	370	32	102	3	0	324.590	237.709	71.458	1.067	115	71	3	0	310.423	635.013
29	285.875	44.462	549	28	162	6	1	331.083	225.149	89.738	1.539	175	105	3	1	316.710	647.793
30	268.207	58.803	817	44	159	3	1	328.034	207.812	108.344	2.166	232	159	5	0	318.718	646.752
31	258.607	75.540	1.083	51	209	3	0	335.493	193.061	129.747	2.844	310	190	5	1	326.158	661.651
32	236.137	90.125	1.384	65	233	3	0	327.947	173.599	143.417	3.521	402	200	9	0	321.148	649.095
